Time,Position,Symbol,Type,Volume,Price,S / L,T / P,Time,Price,Commission,Swap,Profit,,
2022.09.21 19:34:08,59582260,MSFT.O,buy,5, 245.64, 243.80, 247.00,2022.09.21 21:00:05, 243.76,0.00,0.00,- 9.40,,
2022.09.21 20:24:01,59603568,BRENT,buy,0.05, 89.540, 88.500, 90.000,2022.09.21 20:40:32, 90.027,0.00,0.00, 24.35,,
2022.09.21 20:54:07,59614568,WTI,buy,0.02, 83.528, 83.000, 83.600,2022.09.21 21:00:35, 83.645,0.00,0.00, 2.34,,
2022.09.21 21:14:59,59718675,NAT.GAS,buy,0.02, 7.812, 7.740, 7.920,2022.09.22 04:11:59, 7.733,0.00,- 0.50,- 15.80,,
2022.09.21 21:22:07,59729477,GT.O,buy,30, 12.27, 12.00, 12.35,2022.09.21 21:34:06, 12.35,0.00,0.00, 2.40,,
2022.09.22 16:31:04,59789626,BRENT,buy,0.02, 91.725, 91.350, 92.300,2022.09.22 16:48:24, 91.350,0.00,0.00,- 7.50,,
2022.09.22 16:48:30,59792722,RENA.PA,buy,50, 30.02, 29.75, 30.10,2022.09.22 17:02:56, 29.75,0.00,0.00,- 13.28,,
2022.09.22 17:23:44,59796987,WTI,buy,0.03, 83.842, 83.500, 83.900,2022.09.22 17:24:23, 83.900,0.00,0.00, 1.74,,
2022.09.22 17:25:18,59797097,WTI,buy,0.03, 83.796, 83.500, 83.900,2022.09.22 17:28:53, 83.900,0.00,0.00, 3.12,,
2022.09.22 17:30:24,59797478,WTI,buy,0.03, 83.752, 83.300, 83.900,2022.09.22 17:51:32, 83.276,0.00,0.00,- 14.28,,
2022.09.22 17:45:54,59798412,GBPUSD,buy,0.01, 1.12771, 1.12500, 1.13000,2022.09.22 21:16:04, 1.12499,0.00,0.00,- 2.72,,
2022.09.22 18:01:41,59799352,CADCHF,buy,3, 0.72783, 0.72670, 0.72850,2022.09.22 18:43:14, 0.72670,0.00,0.00,- 345.21,,
2022.09.22 22:41:16,59808758,EURGBP,buy,3.5, 0.87402, 0.87287, 0.87462,2022.09.23 00:00:10, 0.87221,0.00,- 17.24,- 713.00,,
2022.09.22 23:18:54,59810223,AUDCAD,buy,10, 0.89590, 0.89490, 0.89640,2022.09.23 00:01:32, 0.89488,0.00,- 40.46,- 755.96,,
